id,created,text
1083080687752626176,2019-01-09 19:18:53,"@__mharrison__ @boedybios @pybites Btw Matt, this caused quite a stir yesterday at work! Had it floating around wit… https://t.co/Qb3hrDSWf4"
1083080251968634880,2019-01-09 19:17:09,"@boedybios @pybites @__mharrison__ What Matt said.
I like to think of this as my physical Python equivalent of the… https://t.co/zdctIaZ60v"
1082845315168854016,2019-01-09 03:43:36,@willyhakim @__mharrison__ @pybites Yep Amazon has it William!
1082722302691729408,2019-01-08 19:34:47,"@wpanayides @pybites Nice one! What did you think of the difficulty? Too hard? Too easy?
Keep it up mate!"
1082722008125693952,2019-01-08 19:33:37,RT @pybites: And back-to-back we released another blog code challenge: #60 - Working With #PDF Files in #Python - https://t.co/8I7N8hO57G -…
1082721642294304768,2019-01-08 19:32:10,"Finally reading through this TINY gem @__mharrison__. So many nuggets of wisdom.
s.isspace()
So simple and useful.… https://t.co/nfEXdyibrw"
1082582758352838656,2019-01-08 10:20:17,@pybites @pycon @stickermule I really want to do this with these! https://t.co/Y8PAALDSh4
1082581672237780994,2019-01-08 10:15:58,The currency of @pycon! https://t.co/kw9DoDNE8U
1082558243761618945,2019-01-08 08:42:52,RT @JohnnyData22: Hey @_juliansequeira. Just wanted to know your article on code refactoring was a good read! I mentioned it here in my vid…
1082558198966439936,2019-01-08 08:42:42,"RT @JohnnyData22: Quick video on how to refactor your code for speed. #coderefactoring #datascience #python #MachineLearning #revision 

ht…"
1082558159321948160,2019-01-08 08:42:32,@JohnnyData22 You're a legend John! I'm honoured mate! This is the best form of feedback :) https://t.co/HeR4xr6Frp
1082239955802312704,2019-01-07 11:38:07,@OniwaBansho @pybites @TalkPython Congrats John!!! Oh man what are you going to do with all the free time?!
1081794217184088064,2019-01-06 06:06:54,"RT @anthonypjshaw: RT pls. Do you interview and hire Python developers?
Am compiling a collection(text&amp;video) of what you look for in a Pyt…"
1081636344806305792,2019-01-05 19:39:35,"RT @bbelderbos: The best way to learn #Python is to actually code!

We developed a Test-Driven Learning methodology that has improved the c…"
1081636088693673985,2019-01-05 19:38:34,"RT @pybites: We support #Python 3.7 now on our platform, stay tuned for 1 or more Bites on data classes ... 

Code more Python @ https://t.…"
1081157416316628992,2019-01-04 11:56:29,RT @pybites: Start off the New Year learning #Python via the #100DaysOfCode. You can use our platform to track your progress. What gets mea…
1080906045814321152,2019-01-03 19:17:38,RT @mkennedy: Congrats @pybites crew on your success. Love the new explainer video: https://t.co/6mRjXnQFft
1080899901339226112,2019-01-03 18:53:13,"RT @pybites: PyBites Platform is 1 year old!

To celebrate, we've simplified the https://t.co/UYcrpvdYpv landing page which now includes a…"
1080899879403044865,2019-01-03 18:53:08,@pybites Ooo yeah! Video time!! Love this!
1080899527878443008,2019-01-03 18:51:44,@mkennedy @AutomationPanda @pybites HAHA it is! Conquered. Done. Dusted!
1080539740611342336,2019-01-02 19:02:04,RT @Vees_Dad: @radhikamorabia @CodeNewbies @BookBytesFM @freeCodeCamp @SoftSkillsEng For #python @pythonbytes has great content. In fact I…
1080383395387961345,2019-01-02 08:40:48,The latest addition to my recording room! What do you think @AutomationPanda?? #python @pybites #Zelda #Nintendo https://t.co/VMTYcUEn08
1079882329835728897,2018-12-31 23:29:45,"RT @pybites: Happy New Year from Spain! Grateful for 2018, excited and full of energy for a Pythonic 2019. Enjoy! https://t.co/NDilytHKeq"
1079844635399180289,2018-12-31 20:59:58,@Vees_Dad @testandcode Haha! Thanks John! I say the same about you at work 😂
1079731082298220544,2018-12-31 13:28:45,Happy New Year from Sydney everyone! Cheers to an absolutely massive 2019! #Python @pybites #HappyNewYear2019
1079553193355358208,2018-12-31 01:41:53,@anthonypjshaw What do you reckon is hiding under all of that? I'm so not helping you man!
1079338063766085633,2018-12-30 11:27:02,RT @jmwatt3: Excited face for @brianokken’s pytest book that just arrived https://t.co/xqKy4XEcnQ
1079293140769488898,2018-12-30 08:28:31,@pybites @yashaslokesh_ @GCPcloud COOL! Nice work Yashas!
1078835658997682176,2018-12-29 02:10:39,"@jmwatt3 @EWDurbin Slight preference?! Haha
Any suggestions would be appreciated mate!"
1078799344982097920,2018-12-28 23:46:21,"RT @thelynchpinau: Thanks for the kind words @_juliansequeira, I think you'll also enjoy my next projec. 

Everyone should check out Pybite…"
1078769966688555008,2018-12-28 21:49:37,@jmwatt3 @brianokken What dreams are made of Jase haha!
1078738220676870144,2018-12-28 19:43:28,RT @brianokken: Test &amp; Code 60: All about #100DaysOfCode with @_juliansequeira https://t.co/KbgWJ3bQwM
1078738131845734401,2018-12-28 19:43:07,"RT @pybites: Listen to our very own @_juliansequeira tell our story on the @testpodcast with @brianokken! Learn about #100DaysOfCode, our r…"
1078731959579303936,2018-12-28 19:18:35,@brianokken It's up! Thanks for having me Brian! I think we had way too much fun recording this one!
